nb_bit	taps	seed	TF coverage	num of test patterns	weights	freq of zeros
10	10, 9, 7, 6	[0, 1, 1, 1, 1, 1, 0, 1, 0, 1]	64.3359%	1000	0.5	1.0	0.499537
10	10, 9, 7, 6	[0, 1, 1, 1, 1, 1, 0, 1, 0, 1]	66.4090%	2000	0.5	1.0	0.499537
10	10, 9, 7, 6	[0, 1, 1, 1, 1, 1, 0, 1, 0, 1]	67.1469%	3000	0.5	1.0	0.499537
10	10, 9, 7, 6	[0, 1, 1, 1, 1, 1, 0, 1, 0, 1]	67.3928%	4000	0.5	1.0	0.499537
10	10, 9, 7, 6	[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]	63.5980%	1000	0.5	1.0	0.499467
10	10, 9, 7, 6	[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]	66.0576%	2000	0.5	1.0	0.499467
10	10, 9, 7, 6	[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]	66.8306%	3000	0.5	1.0	0.499467
10	10, 9, 7, 6	[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]	67.5334%	4000	0.5	1.0	0.499467
10	10, 9, 7, 6	[0, 1, 1, 0, 0, 1, 1, 0, 1, 1]	64.0900%	1000	0.5	1.0	0.499655
10	10, 9, 7, 6	[0, 1, 1, 0, 0, 1, 1, 0, 1, 1]	66.1630%	2000	0.5	1.0	0.499655
10	10, 9, 7, 6	[0, 1, 1, 0, 0, 1, 1, 0, 1, 1]	67.2874%	3000	0.5	1.0	0.499655
10	10, 9, 7, 6	[0, 1, 1, 0, 0, 1, 1, 0, 1, 1]	67.7442%	4000	0.5	1.0	0.499655
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	63.0007%	1000	0.5	1.0	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	66.0928%	2000	0.5	1.0	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	67.2171%	3000	0.5	1.0	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	67.7442%	4000	0.5	1.0	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 0, 1, 0, 1, 0, 0, 0, 1]	63.0007%	1000	0.5, 0.25	0.5	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 1, 0, 1, 1, 0, 1, 1, 1]	61.9466%	1000	0.5, 0.25	0.8, 0.2	0.507994
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	62.0520%	1000	0.5, 0.25	0.5	0.524663
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	63.3521%	1000	0.5, 0.25	0.8, 0.2	0.509675
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 1, 0, 1, 0, 0, 1, 0, 1, 0]	63.0007%	1000	0.5, 0.75	0.5	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 0, 0, 0, 1, 1, 0, 1, 1, 1]	62.8953%	1000	0.5, 0.75	0.9, 0.1	0.522680
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	62.5439%	1000	0.5, 0.75	0.5	0.615735
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	63.1061%	1000	0.5, 0.75	0.9, 0.1	0.522669
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 0, 0, 1, 0, 0, 0, 0, 1, 0]	63.0007%	1000	0.5, 0.125	0.5	0.499514
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0][1, 0, 0, 1, 1, 0, 1, 1, 0, 0]	62.6142%	1000	0.5, 0.125	0.9, 0.1	0.485182
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	60.1546%	1000	0.5, 0.125	0.5	0.349420
10	10, 9, 7, 6	[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]	62.5439%	1000	0.5, 0.125	0.9, 0.1	0.469667
10	10, 9, 7, 6	[0, 1, 0, 0, 1, 0, 0, 0, 0, 0][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 1, 0, 0, 1, 1, 0, 0, 1, 0]	63.0007%	1000	0.25, 0.5, 0.75	0.3333333333333333	0.499514
10	10, 9, 7, 6	[0, 0, 1, 0, 1, 0, 1, 0, 1, 1][1, 1, 0, 0, 0, 0, 0, 0, 1, 0][0, 0, 0, 1, 1, 0, 1, 1, 1, 1]	63.1764%	1000	0.25, 0.5, 0.75	0.1, 0.8, 0.1	0.527542
